payment_id,order_id,card_num,sec_num,exp_date,pay_status
1,13,348712947271970,643,2024-12-16 08:15:40,Failed
2,79,5310405573675746,658,2024-08-19 17:22:25,Complete
3,72,601316718654043539,878,2024-04-23 16:22:57,Complete
4,89,4832302986865463,350,2024-11-04 12:13:08,Refunded
5,97,4218579747840,471,2024-07-20 11:15:30,Complete
6,55,4537720990438,882,2024-05-16 01:44:31,Refunded
7,93,601426418320103950,018,2024-05-18 00:59:06,Complete
8,55,5121484638280668,749,2024-05-12 15:21:56,Failed
9,72,5584233264747445,107,2024-05-29 03:19:48,Complete
10,20,4033452533710444,199,2024-02-15 15:23:03,Refunded
11,51,5596270701360016,469,2024-05-13 08:14:52,Refunded
12,68,4147376024191,133,2024-03-30 05:23:15,Complete
13,83,375820205433667,720,2024-12-18 07:40:10,Failed
14,48,5381017594924393,325,2024-10-30 04:42:45,Refunded
15,24,5479824797621160,520,2024-05-16 10:44:10,Failed
16,70,347529765524011,290,2024-11-17 13:53:32,Refunded
17,66,608152653923396883,041,2024-06-15 10:52:43,Complete
18,53,4879277759016,055,2024-04-25 06:19:05,Complete
19,13,5311831444051404,213,2025-01-02 07:26:03,Complete
20,10,373210666673074,369,2024-09-20 00:11:30,Failed
21,45,5517651169921272,377,2024-10-22 04:14:05,Complete
22,44,600938916051974245,856,2024-04-29 17:16:22,Refunded
23,20,604500252275323518,835,2024-03-07 01:51:42,Failed
24,64,609535666053364790,542,2024-02-29 10:37:01,Refunded
25,6,372814663590493,458,2024-03-01 14:12:04,Refunded
26,22,376055989940826,256,2024-06-21 18:03:05,Complete
27,66,5289950365712709,811,2024-02-20 21:26:46,Complete
28,49,609507177377195229,579,2024-08-14 16:38:25,Refunded
29,95,4420543420256,035,2024-04-29 09:39:55,Refunded
30,32,348354613954207,020,2024-10-06 11:53:19,Failed
31,65,378588829744174,121,2024-12-08 18:32:20,Complete
32,9,5306456073260477,783,2024-02-08 20:23:41,Complete
33,5,378026192835408,578,2024-05-11 19:10:06,Failed
34,79,4184679624640,653,2024-09-12 01:06:28,Failed
35,49,604564839202980080,863,2024-07-29 02:32:46,Refunded
36,16,4732969603729966,250,2024-04-28 03:13:10,Complete
37,15,5325620017629561,300,2024-09-03 09:53:22,Complete
38,98,610617627337175732,768,2024-04-27 22:43:31,Refunded
39,28,373117679897302,808,2024-09-07 23:37:58,Complete
40,50,371884168390795,074,2024-11-02 22:21:22,Complete
41,44,340405654451580,245,2024-11-10 00:03:47,Failed
42,88,345251672695261,599,2024-06-20 14:52:07,Refunded
43,5,612627670241851356,263,2024-04-16 17:55:24,Complete
44,39,346328301231425,124,2024-05-17 06:28:23,Complete
45,57,617708204629066774,648,2024-03-26 10:12:35,Failed
46,46,616376937314167927,194,2024-07-01 22:44:12,Complete
47,50,608377181647195042,726,2025-01-07 09:33:47,Failed
48,87,4836230841516,700,2024-10-12 18:47:49,Complete
49,47,4762988535420,372,2024-05-17 04:54:18,Failed
50,70,611284959731338156,467,2024-06-08 20:17:14,Failed
51,82,4896097003641565,814,2024-09-18 04:05:12,Complete
52,19,5219618187979328,254,2024-04-06 13:59:18,Failed
53,61,617276115095293191,860,2024-07-12 20:19:27,Complete
54,35,4045999769940,396,2024-12-03 01:34:28,Failed
55,18,4774324188807,247,2025-01-06 17:09:26,Refunded
56,59,372172650380034,282,2024-03-18 17:03:08,Complete
57,38,370735782867059,587,2024-04-17 18:58:39,Failed
58,94,603269326548200290,888,2024-07-23 17:37:36,Refunded
59,32,4921617481350774,268,2024-10-18 23:35:11,Failed
60,73,4173812202132,758,2024-07-10 14:47:00,Failed
